type,policy_name,target_url,target_dt,snapshot_dt,snapshot_url,word_count
primary,Terms of Use,https://www.facebook.com/terms.php,2005-12-15,2005-11-26T05:29:14Z,http://web.archive.org/web/20051126052914/http://www.facebook.com:80/terms.php,1931
primary,Terms of Use,https://www.facebook.com/terms.php,2006-01-15,2006-01-15T10:44:11Z,http://web.archive.org/web/20060115104411/http://www.facebook.com:80/terms.php,1929
primary,Terms of Use,https://www.facebook.com/terms.php,2006-02-15,2006-01-15T10:44:11Z,http://web.archive.org/web/20060115104411/http://www.facebook.com:80/terms.php,1929
primary,Terms of Use,https://www.facebook.com/terms.php,2006-03-15,2006-01-15T10:44:11Z,http://web.archive.org/web/20060115104411/http://www.facebook.com:80/terms.php,1929
primary,Terms of Use,https://www.facebook.com/terms.php,2006-04-15,2006-01-15T10:44:11Z,http://web.archive.org/web/20060115104411/http://www.facebook.com:80/terms.php,1929
primary,Terms of Use,https://www.facebook.com/terms.php,2006-05-15,2006-01-15T10:44:11Z,http://web.archive.org/web/20060115104411/http://www.facebook.com:80/terms.php,1929
primary,Terms of Use,https://www.facebook.com/terms.php,2006-06-15,2006-01-15T10:44:11Z,http://web.archive.org/web/20060115104411/http://www.facebook.com:80/terms.php,1929
primary,Terms of Use,https://www.facebook.com/terms.php,2006-07-15,2006-01-15T10:44:11Z,http://web.archive.org/web/20060115104411/http://www.facebook.com:80/terms.php,1929
primary,Terms of Use,https://www.facebook.com/terms.php,2006-08-15,2006-01-15T10:44:11Z,http://web.archive.org/web/20060115104411/http://www.facebook.com:80/terms.php,1929
primary,Terms of Use,https://www.facebook.com/terms.php,2006-09-15,2006-01-15T10:44:11Z,http://web.archive.org/web/20060115104411/http://www.facebook.com:80/terms.php,1929
primary,Terms of Use,https://www.facebook.com/terms.php,2006-10-15,2006-01-15T10:44:11Z,http://web.archive.org/web/20060115104411/http://www.facebook.com:80/terms.php,1929
primary,Terms of Use,https://www.facebook.com/terms.php,2006-11-15,2006-01-15T10:44:11Z,http://web.archive.org/web/20060115104411/http://www.facebook.com:80/terms.php,1929
primary,Terms of Use,https://www.facebook.com/terms.php,2006-12-15,2006-01-15T10:44:11Z,http://web.archive.org/web/20060115104411/http://www.facebook.com:80/terms.php,1929
primary,Terms of Use,https://www.facebook.com/terms.php,2007-01-15,2007-01-13T15:15:31Z,http://web.archive.org/web/20070113151531/http://www.facebook.com:80/terms.php,4755
primary,Terms of Use,https://www.facebook.com/terms.php,2007-02-15,2007-01-13T15:15:31Z,http://web.archive.org/web/20070113151531/http://www.facebook.com:80/terms.php,4755
primary,Terms of Use,https://www.facebook.com/terms.php,2007-03-15,2007-01-13T15:15:31Z,http://web.archive.org/web/20070113151531/http://www.facebook.com:80/terms.php,4755
primary,Terms of Use,https://www.facebook.com/terms.php,2007-04-15,2007-01-13T15:15:31Z,http://web.archive.org/web/20070113151531/http://www.facebook.com:80/terms.php,4755
primary,Terms of Use,https://www.facebook.com/terms.php,2007-05-15,2007-01-13T15:15:31Z,http://web.archive.org/web/20070113151531/http://www.facebook.com:80/terms.php,4755
primary,Terms of Use,https://www.facebook.com/terms.php,2007-06-15,2007-01-13T15:15:31Z,http://web.archive.org/web/20070113151531/http://www.facebook.com:80/terms.php,4755
primary,Terms of Use,https://www.facebook.com/terms.php,2007-07-15,2007-01-13T15:15:31Z,http://web.archive.org/web/20070113151531/http://www.facebook.com:80/terms.php,4755
primary,Terms of Use,https://www.facebook.com/terms.php,2007-08-15,2007-01-13T15:15:31Z,http://web.archive.org/web/20070113151531/http://www.facebook.com:80/terms.php,4755
primary,Terms of Use,https://www.facebook.com/terms.php,2007-09-15,2007-01-13T15:15:31Z,http://web.archive.org/web/20070113151531/http://www.facebook.com:80/terms.php,4755
primary,Terms of Use,https://www.facebook.com/terms.php,2007-10-15,2007-01-13T15:15:31Z,http://web.archive.org/web/20070113151531/http://www.facebook.com:80/terms.php,4755
primary,Terms of Use,https://www.facebook.com/terms.php,2007-11-15,2007-01-13T15:15:31Z,http://web.archive.org/web/20070113151531/http://www.facebook.com:80/terms.php,4755
primary,Terms of Use,https://www.facebook.com/terms.php,2007-12-15,2007-01-13T15:15:31Z,http://web.archive.org/web/20070113151531/http://www.facebook.com:80/terms.php,4755
primary,Terms of Use,https://www.facebook.com/terms.php,2008-01-15,2008-01-09T21:02:47Z,http://web.archive.org/web/20080109210247/http://www.facebook.com/terms.php,6416
primary,Terms of Use,https://www.facebook.com/terms.php,2008-02-15,2008-01-09T21:02:47Z,http://web.archive.org/web/20080109210247/http://www.facebook.com/terms.php,6416
primary,Terms of Use,https://www.facebook.com/terms.php,2008-03-15,2008-01-09T21:02:47Z,http://web.archive.org/web/20080109210247/http://www.facebook.com/terms.php,6416
primary,Terms of Use,https://www.facebook.com/terms.php,2008-04-15,2008-01-09T21:02:47Z,http://web.archive.org/web/20080109210247/http://www.facebook.com/terms.php,6416
primary,Terms of Use,https://www.facebook.com/terms.php,2008-05-15,2008-01-09T21:02:47Z,http://web.archive.org/web/20080109210247/http://www.facebook.com/terms.php,6416
primary,Terms of Use,https://www.facebook.com/terms.php,2008-06-15,2008-01-09T21:02:47Z,http://web.archive.org/web/20080109210247/http://www.facebook.com/terms.php,6416
primary,Terms of Use,https://www.facebook.com/terms.php,2008-07-15,2008-01-09T21:02:47Z,http://web.archive.org/web/20080109210247/http://www.facebook.com/terms.php,6416
primary,Terms of Use,https://www.facebook.com/terms.php,2008-08-15,2008-01-09T21:02:47Z,http://web.archive.org/web/20080109210247/http://www.facebook.com/terms.php,6416
primary,Terms of Use,https://www.facebook.com/terms.php,2008-09-15,2008-01-09T21:02:47Z,http://web.archive.org/web/20080109210247/http://www.facebook.com/terms.php,6416
primary,Terms of Use,https://www.facebook.com/terms.php,2008-10-15,2008-01-09T21:02:47Z,http://web.archive.org/web/20080109210247/http://www.facebook.com/terms.php,6416
primary,Terms of Use,https://www.facebook.com/terms.php,2008-11-15,2008-01-09T21:02:47Z,http://web.archive.org/web/20080109210247/http://www.facebook.com/terms.php,6416
primary,Terms of Use,https://www.facebook.com/terms.php,2008-12-15,2008-01-09T21:02:47Z,http://web.archive.org/web/20080109210247/http://www.facebook.com/terms.php,6416
primary,Terms of Use,https://www.facebook.com/terms.php,2009-01-15,2009-01-16T03:21:41Z,http://web.archive.org/web/20090116032141/http://www.facebook.com/terms.php,6918
primary,Terms of Use,https://www.facebook.com/terms.php,2009-02-15,2009-01-16T03:21:41Z,http://web.archive.org/web/20090116032141/http://www.facebook.com/terms.php,6918
primary,Terms of Use,https://www.facebook.com/terms.php,2009-03-15,2009-01-16T03:21:41Z,http://web.archive.org/web/20090116032141/http://www.facebook.com/terms.php,6918
primary,Terms of Use,https://www.facebook.com/terms.php,2009-04-15,2009-01-16T03:21:41Z,http://web.archive.org/web/20090116032141/http://www.facebook.com/terms.php,6918
primary,Terms of Use,https://www.facebook.com/terms.php,2009-05-15,2009-01-16T03:21:41Z,http://web.archive.org/web/20090116032141/http://www.facebook.com/terms.php,6918
primary,Terms of Use,https://www.facebook.com/terms.php,2009-06-15,2009-01-16T03:21:41Z,http://web.archive.org/web/20090116032141/http://www.facebook.com/terms.php,6918
primary,Terms of Use,https://www.facebook.com/terms.php,2009-07-15,2009-01-16T03:21:41Z,http://web.archive.org/web/20090116032141/http://www.facebook.com/terms.php,6918
primary,Terms of Use,https://www.facebook.com/terms.php,2009-08-15,2009-01-16T03:21:41Z,http://web.archive.org/web/20090116032141/http://www.facebook.com/terms.php,6918
primary,Terms of Use,https://www.facebook.com/terms.php,2009-09-15,2009-01-16T03:21:41Z,http://web.archive.org/web/20090116032141/http://www.facebook.com/terms.php,6918
primary,Terms of Use,https://www.facebook.com/terms.php,2009-10-15,2009-01-16T03:21:41Z,http://web.archive.org/web/20090116032141/http://www.facebook.com/terms.php,6918
primary,Terms of Use,https://www.facebook.com/terms.php,2009-11-15,2009-01-16T03:21:41Z,http://web.archive.org/web/20090116032141/http://www.facebook.com/terms.php,6918
primary,Terms of Use,https://www.facebook.com/terms.php,2009-12-15,2009-01-16T03:21:41Z,http://web.archive.org/web/20090116032141/http://www.facebook.com/terms.php,6918
primary,Terms of Use,https://www.facebook.com/terms.php,2010-01-15,2010-01-15T01:20:34Z,http://web.archive.org/web/20100115012034/http://www.facebook.com/terms.php,3749
primary,Terms of Use,https://www.facebook.com/terms.php,2010-02-15,2010-01-15T01:20:34Z,http://web.archive.org/web/20100115012034/http://www.facebook.com/terms.php,3749
primary,Terms of Use,https://www.facebook.com/terms.php,2010-03-15,2010-01-15T01:20:34Z,http://web.archive.org/web/20100115012034/http://www.facebook.com/terms.php,3749
